farm_id,production,species,county,H_i,x,y
1,conventional,duck,Allegheny,0,454041.272865852,4676745.4847226
10,broiler_2,chicken,Fulton,0,431866.164424147,4647170.03727031
100,broiler_2,chicken,Fulton,0,423713.548478429,4640217.68045266
1000,organic,duck,Fulton,0,422728.210110772,4640450.84471829
1001,broiler_2,chicken,Fulton,0,420507.534723514,4648175.7910151
1002,broiler_2,chicken,Fulton,0,428888.682983573,4674541.58058236
1003,broiler_2,chicken,Fulton,0,404637.55252065,4656588.87782119
1004,conventional,duck,Fulton,0,418902.73206315,4679243.08602507
1005,conventional,duck,Fulton,0,434945.518984136,4661118.16177492
1006,conventional,duck,Fulton,0,408144.674661387,4661598.13019535
1007,conventional,duck,Allegheny,0,440603.400765462,4649373.43157016
1008,broiler_1,chicken,Fulton,0,426571.356512937,4676448.034444
1009,organic,duck,Allegheny,0,444862.812409912,4677139.6950788
101,conventional,duck,Fulton,0,420227.441787684,4655608.10605378
1010,organic,duck,Allegheny,1,452818.475366477,4680910.53019508
1011,conventional,duck,Fulton,0,438836.174707402,4679019.45893223
1012,broiler_2,chicken,Fulton,0,410043.434695385,4663078.84339703
1013,conventional,duck,Fulton,0,433078.529220388,4647616.5460353
1014,conventional,duck,Fulton,0,417190.072252425,4655591.05119669
1015,broiler_1,chicken,Fulton,0,426676.849728451,4678428.95215931
1016,conventional,duck,Fulton,0,417332.044197395,4643733.26564182
1017,conventional,duck,Fulton,0,436799.409826634,4668410.86440499
1018,conventional,duck,Fulton,0,433904.364712098,4657918.81122105
1019,broiler_1,chicken,Fulton,0,415119.505455303,4638615.92959212
102,broiler_1,chicken,Fulton,0,433924.829880525,4658424.9225615
1020,broiler_2,chicken,Fulton,0,408870.147969795,4647951.58647392
1021,conventional,duck,Fulton,0,433637.411045308,4644274.28960869
1022,conventional,duck,Allegheny,0,447468.385407696,4679558.16909131
1023,conventional,duck,Fulton,0,424620.052632014,4679636.6406402
1024,broiler_2,chicken,Allegheny,0,451022.06585448,4674777.42709289
1025,conventional,duck,Fulton,0,412511.089254774,4650503.11811028
1026,conventional,duck,Allegheny,0,451989.868852582,4668999.71433571
1027,broiler_2,chicken,Fulton,0,420547.58349011,4673395.55087114
1028,layer,chicken,Allegheny,0,448998.888786556,4669027.44853493
1029,organic,duck,Fulton,0,425028.387232682,4649913.86031951
103,layer,chicken,Allegheny,0,445093.808212358,4668068.45047751
1030,broiler_1,chicken,Fulton,0,426800.636685525,4645691.73773202
1031,broiler_2,chicken,Allegheny,0,438464.30150963,4649640.16075744
1032,conventional,duck,Fulton,0,423827.007849225,4664904.31696444
1033,conventional,duck,Allegheny,0,447038.841905328,4681612.80537805
1034,broiler_2,chicken,Allegheny,0,441901.575358567,4651663.63578114
1035,conventional,duck,Fulton,0,432811.799318347,4669039.89657824
1036,layer,chicken,Fulton,0,421383.635184694,4647322.85799554
1037,conventional,duck,Fulton,0,431055.017263006,4676650.63037966
1038,broiler_1,chicken,Fulton,0,406746.690301191,4664992.4749083
1039,conventional,duck,Fulton,0,416573.232621038,4634159.11161264
104,conventional,duck,Fulton,0,409194.338460824,4656204.37439306
1040,broiler_2,chicken,Fulton,0,435308.554943609,4643649.35544373
1041,conventional,duck,Fulton,0,432631.158925832,4645953.38734626
1042,conventional,duck,Allegheny,0,450379.047148341,4682372.01196273
1043,conventional,duck,Fulton,0,411593.259391274,4659583.37094447
1044,broiler_2,chicken,Allegheny,0,447438.766795413,4668454.08238644
1045,conventional,duck,Fulton,0,417777.44937741,4648176.48457049
1046,conventional,duck,Fulton,0,432567.844071684,4673318.94523386
1047,conventional,duck,Fulton,0,411315.826906617,4667095.62601041
1048,conventional,duck,Fulton,0,417154.781868783,4645712.88708845
1049,broiler_2,chicken,Fulton,0,432625.537916819,4677263.31083407
105,layer,chicken,Fulton,0,433868.617636261,4656346.86697304
1050,broiler_2,chicken,Fulton,0,428497.688194833,4671306.84561618
1051,conventional,duck,Fulton,0,433427.405167889,4661614.69260887
1052,broiler_1,chicken,Fulton,0,422644.402545584,4645445.05538994
1053,broiler_1,chicken,Fulton,0,410829.443567071,4646245.09262285
1054,conventional,duck,Allegheny,0,439734.043478071,4641668.65001667
1055,conventional,duck,Fulton,0,409325.09081606,4660949.09506688
1056,layer,chicken,Allegheny,0,443487.696594459,4656639.01296069
1057,broiler_2,chicken,Allegheny,0,449244.635293122,4677095.04800244
1058,broiler_1,chicken,Fulton,0,404377.310609558,4664642.06370832
1059,broiler_1,chicken,Allegheny,0,447909.047494091,4670876.19623667
106,broiler_2,chicken,Fulton,0,424650.789000711,4657141.78474062
1060,conventional,duck,Fulton,0,416368.897992501,4657332.34244506
1061,organic,duck,Fulton,0,416732.501138257,4654049.79967957
1062,broiler_1,chicken,Fulton,0,435551.681380675,4647681.84974103
1063,conventional,duck,Fulton,0,422166.705369353,4663312.97782018
1064,layer,chicken,Fulton,0,413276.409540668,4656267.2751725
1065,broiler_1,chicken,Fulton,0,416667.572130635,4653301.70495838
1066,organic,duck,Allegheny,0,445183.902995394,4672375.25967079
1067,conventional,duck,Fulton,0,410338.849185568,4650807.56716196
