sim,gal_sp,pal_sp,gal_mv,pal_mv,bg,total,gal_total,pal_total,frac_gal,frac_pal
1,235.223901476243,0,0,0,268.401997583395,503.625899059638,235.223901476243,0,0.467060772520732,0
2,185.706867567373,0,0,0,268.481366468849,454.188234036221,185.706867567373,0,0.408876438557329,0
3,196.060416346419,0,0,0,268.46924014458,464.529656490998,196.060416346419,0,0.422062216280089,0
4,191.925323669322,0,0,0,268.481389606478,460.406713275799,191.925323669322,0,0.4168603935068,0
5,218.732744103147,0,0,0,268.442823785542,487.175567888689,218.732744103147,0,0.448981349888062,0
6,114.275628936295,0,0,0,268.525033426586,382.800662362879,114.275628936295,0,0.298525159885868,0
7,196.673780793189,0,0,0,268.437929224326,465.111710017513,196.673780793189,0,0.422852782583743,0
8,173.643205466544,0,0,0,268.474911470506,442.118116937049,173.643205466544,0,0.392752974407671,0
9,188.733140525601,0,0,0,268.450969707992,457.184110233592,188.733140525601,0,0.412816491870573,0
10,188.917002164827,0,0,0,268.482931711154,457.399933875981,188.917002164827,0,0.413023676160063,0
11,238.476002966984,0,0,0,268.402736114945,506.878739081929,238.476002966984,0,0.470479395918081,0
12,216.072922318683,0,0,0,268.458748432789,484.531670751472,216.072922318683,0,0.445941793616031,0
13,196.720263568838,0,0,0,268.435788974867,465.156052543704,196.720263568838,0,0.42291240217788,0
14,176.882281074179,0,0,0,268.45501960488,445.337300679058,176.882281074179,0,0.397187212489198,0
15,211.407719130925,0,0,0,268.446037234463,479.853756365387,211.407719130925,0,0.440566977597957,0
16,159.455207880099,0,0,0,268.479123901108,427.934331781206,159.455207880099,0,0.372616067555021,0
17,175.216284897807,0,0,0,268.46808621581,443.684371113616,175.216284897807,0,0.394912005708081,0
18,210.034200084498,0,0,0,268.451214187803,478.4854142723,210.034200084498,0,0.438956327235024,0
19,195.171351833945,0,0,0,268.457717063646,463.629068897591,195.171351833945,0,0.420964441030456,0
20,209.290434115916,0,0,0,268.45152093864,477.741955054555,209.290434115916,0,0.43808259228984,0
