sim,newE_4w,newD_4w,newE_4w_no_gal,newD_4w_no_gal,newE_4w_no_pal,newD_4w_no_pal,red_newE_if_remove_gal,red_newE_if_remove_pal,red_newD_if_remove_gal,red_newD_if_remove_pal
1,272,287,158,159,262,263,0.419117647058824,0.0367647058823529,0.445993031358885,0.083623693379791
2,235,250,163,167,215,229,0.306382978723404,0.0851063829787234,0.332,0.084
3,236,250,139,168,235,231,0.411016949152542,0.00423728813559322,0.328,0.076
4,294,279,142,166,238,243,0.517006802721089,0.19047619047619,0.405017921146953,0.129032258064516
5,248,264,155,163,213,218,0.375,0.141129032258065,0.382575757575758,0.174242424242424
6,207,201,138,156,228,235,0.333333333333333,-0.101449275362319,0.223880597014925,-0.169154228855721
7,249,257,168,186,233,248,0.325301204819277,0.0642570281124498,0.276264591439689,0.0350194552529183
8,271,292,169,190,277,274,0.376383763837638,-0.022140221402214,0.349315068493151,0.0616438356164384
9,252,261,150,176,279,282,0.404761904761905,-0.107142857142857,0.325670498084291,-0.0804597701149425
10,271,279,147,165,248,249,0.457564575645757,0.0848708487084871,0.408602150537634,0.10752688172043
11,256,269,165,177,243,253,0.35546875,0.05078125,0.342007434944238,0.0594795539033457
12,266,280,134,153,231,230,0.496240601503759,0.131578947368421,0.453571428571429,0.178571428571429
13,266,268,165,187,264,264,0.379699248120301,0.0075187969924812,0.302238805970149,0.0149253731343284
14,239,249,169,186,246,247,0.292887029288703,-0.0292887029288703,0.253012048192771,0.00803212851405622
15,249,258,133,157,243,250,0.465863453815261,0.0240963855421687,0.391472868217054,0.0310077519379845
16,250,238,162,183,237,247,0.352,0.052,0.23109243697479,-0.0378151260504202
17,239,246,174,193,223,246,0.271966527196653,0.0669456066945607,0.215447154471545,0
18,281,295,156,172,250,257,0.444839857651246,0.110320284697509,0.416949152542373,0.128813559322034
19,239,245,149,171,263,260,0.376569037656904,-0.100418410041841,0.302040816326531,-0.0612244897959184
20,266,284,178,177,232,257,0.330827067669173,0.12781954887218,0.376760563380282,0.0950704225352113
